PAKKAUSNRO;AINETUN;AINENIMI
25;891;Carbo activatus
26;891;Carbo activatus
29;2255;Hydrocortisoni 17-butyras
30;2255;Hydrocortisoni 17-butyras
32;82;Acidum acetylsalicylicum
33;82;Acidum acetylsalicylicum
34;82;Acidum acetylsalicylicum
42;82;Acidum acetylsalicylicum
44;82;Acidum acetylsalicylicum
45;82;Acidum acetylsalicylicum
48;4255;Sennosidae A + B
48;5851;Sennae acutifoliae aut angustifoliae fructus et folii extr.sicc.
63;3029;Morphini hydrochloridum
72;2321;Indapamidum
84;1739;Estradiolum hemihydricum
102;1499;Diltiazemi hydrochloridum
103;1499;Diltiazemi hydrochloridum
121;4587;Thiamini hydrochloridum
142;765;Bupivacaini hydrochloridum monohydricum
143;765;Bupivacaini hydrochloridum monohydricum
160;2204;Haloperidolum
161;2204;Haloperidolum
163;2204;Haloperidolum
167;586;Bacitracinum
167;3271;Neomycini sulfas
168;586;Bacitracinum
168;3271;Neomycini sulfas
170;586;Bacitracinum
170;3271;Neomycini sulfas
177;3765;Pilocarpini hydrochloridum
179;3765;Pilocarpini hydrochloridum
180;397;Amitriptylini hydrochloridum
181;397;Amitriptylini hydrochloridum
183;397;Amitriptylini hydrochloridum
185;397;Amitriptylini hydrochloridum
194;4013;Prochlorperazini maleas
203;1044;Chlorambucilum
227;1405;Dexpanthenolum
229;1405;Dexpanthenolum
235;2419;Plantaginis ovatae seminis tegumentum
236;2419;Plantaginis ovatae seminis tegumentum
237;2419;Plantaginis ovatae seminis tegumentum
238;2020;Fludrocortisoni acetas
243;1929;Fentanyli citras
244;1929;Fentanyli citras
250;3994;Prednisolonum
251;3994;Prednisolonum
258;1739;Estradiolum hemihydricum
259;1739;Estradiolum hemihydricum
260;1739;Estradiolum hemihydricum
261;1739;Estradiolum hemihydricum
262;3724;Phenoxymethylpenicillinum kalicum
265;3124;Natrii cromoglicas
290;1088;Chlorprothixeni hydrochloridum
292;1088;Chlorprothixeni hydrochloridum
306;2126;Glucagonum
307;2126;Glucagonum
310;1316;Cyanocobalaminum
310;4091;Pyridoxini hydrochloridum
310;4586;Thiamini disulfidum
311;1316;Cyanocobalaminum
311;4091;Pyridoxini hydrochloridum
311;4586;Thiamini disulfidum
313;3337;Nortriptylini hydrochloridum
314;3337;Nortriptylini hydrochloridum
322;3724;Phenoxymethylpenicillinum kalicum
323;3724;Phenoxymethylpenicillinum kalicum
325;3724;Phenoxymethylpenicillinum kalicum
336;3684;Perphenazinum
338;3684;Perphenazinum
340;3684;Perphenazinum
346;1400;Dexamethasonum
346;3271;Neomycini sulfas
346;3896;Polymyxini b sulfas
355;3584;Paracetamolum
363;806;Calcii carbonas
363;2768;Magnesii subcarbonas ponderosus
364;806;Calcii carbonas
364;2768;Magnesii subcarbonas ponderosus
365;806;Calcii carbonas
365;2768;Magnesii subcarbonas ponderosus
368;1423;Dextromethorphani hydrobromidum
368;1680;Ephedrini hydrochloridum
369;1423;Dextromethorphani hydrobromidum
369;1680;Ephedrini hydrochloridum
371;1423;Dextromethorphani hydrobromidum
371;1680;Ephedrini hydrochloridum
372;1423;Dextromethorphani hydrobromidum
372;1680;Ephedrini hydrochloridum
373;3529;Orphenadrini citras
375;3529;Orphenadrini citras
411;66;Acetylcholini chloridum
416;2756;Magnesii hydroxidum pasta
417;176;Acidum salicylicum
417;1892;Extractum suprarenale purificata
417;3032;Mucopolysaccharidi polysulfas
418;176;Acidum salicylicum
418;1892;Extractum suprarenale purificata
418;3032;Mucopolysaccharidi polysulfas
420;176;Acidum salicylicum
420;1892;Extractum suprarenale purificata
420;3032;Mucopolysaccharidi polysulfas
440;5404;Hyoscini butylbromidum
450;3086;Natamycinum
460;2261;Hydrocortisonum
461;2261;Hydrocortisonum
462;2261;Hydrocortisonum
463;2261;Hydrocortisonum
465;2261;Hydrocortisonum
466;2261;Hydrocortisonum
467;2261;Hydrocortisonum
469;1405;Dexpanthenolum
469;2261;Hydrocortisonum
470;1405;Dexpanthenolum
470;2261;Hydrocortisonum
471;1405;Dexpanthenolum
471;2261;Hydrocortisonum
485;3795;Piroxicamum
486;3795;Piroxicamum
487;3795;Piroxicamum
488;3795;Piroxicamum
500;2261;Hydrocortisonum
500;3086;Natamycinum
500;3271;Neomycini sulfas
508;686;Betaxololi hydrochloridum
515;215;Adrenalini hydrogenotartras
515;2642;Lidocaini hydrochloridum monohydricum
516;215;Adrenalini hydrogenotartras
516;2642;Lidocaini hydrochloridum monohydricum
518;2260;Hydrocortisoni natrii succinas
520;2261;Hydrocortisonum
520;3559;Oxytetracyclini hydrochloridum
534;4437;Sufentanili citras
535;4437;Sufentanili citras
543;4437;Sufentanili citras
565;4087;Pyrazinamidum
571;1796;Etilefrini hydrochloridum
575;682;Betamethasoni valeras
576;682;Betamethasoni valeras
577;682;Betamethasoni valeras
583;682;Betamethasoni valeras
590;2090;Furosemidum
591;2090;Furosemidum
592;2090;Furosemidum
593;2090;Furosemidum
676;2253;Hydrochlorothiazidum
677;2253;Hydrochlorothiazidum
698;216;Adrenalini tartras
699;12112;Tamsulosin hydrochloride
700;12112;Tamsulosin hydrochloride
712;4678;Tretinoinum
717;2410;Isosorbidi 5-mononitras
725;3743;Phenytoinum
728;1917;Felodipinum
729;1917;Felodipinum
735;3119;Natrii citras
735;3190;Natrii laurilsulfoacetas
735;4361;Sorbitolum
736;3119;Natrii citras
736;3190;Natrii laurilsulfoacetas
736;4361;Sorbitolum
739;3119;Natrii citras
739;3190;Natrii laurilsulfoacetas
739;4361;Sorbitolum
742;82;Acidum acetylsalicylicum
742;1221;Coffeinum
743;82;Acidum acetylsalicylicum
743;1221;Coffeinum
746;1918;Felypressinum
746;4002;Prilocaini hydrochloridum
747;1918;Felypressinum
747;4002;Prilocaini hydrochloridum
762;806;Calcii carbonas
762;2752;Magnesii hydroxidum
763;806;Calcii carbonas
763;2752;Magnesii hydroxidum
766;1434;Diazepamum
767;1434;Diazepamum
769;1434;Diazepamum
770;1434;Diazepamum
771;1434;Diazepamum
773;1434;Diazepamum
774;1434;Diazepamum
776;3529;Orphenadrini citras
776;3584;Paracetamolum
777;3529;Orphenadrini citras
777;3584;Paracetamolum
778;2873;Metamizolum natricum
778;3798;Pitofenoni hydrochloridum
779;2873;Metamizolum natricum
779;3798;Pitofenoni hydrochloridum
780;2873;Metamizolum natricum
780;3798;Pitofenoni hydrochloridum
782;2873;Metamizolum natricum
782;3798;Pitofenoni hydrochloridum
791;2823;Meclozini dihydrochloridum
797;1603;Doxorubicini hydrochloridum
798;1603;Doxorubicini hydrochloridum
807;2944;Methylprednisoloni aceponas
808;2944;Methylprednisoloni aceponas
877;678;Betamethasoni acetas
877;681;Betamethasoni natrii phosphas
880;678;Betamethasoni acetas
880;681;Betamethasoni natrii phosphas
888;2698;Lymecyclinum
890;4546;Testosteroni decanoas
890;4548;Testosteroni isocaproas
890;4549;Testosteroni phenylpropionas
890;4550;Testosteroni propionas
891;3330;Norethisteronum
938;3724;Phenoxymethylpenicillinum kalicum
951;4365;Sotaloli hydrochloridum
952;4223;Salmeteroli xinafoas
960;324;Allopurinolum
963;4017;Progesteronum
964;4017;Progesteronum
971;791;Cabergolinum
972;791;Cabergolinum
978;7128;Exametazimum
979;7128;Exametazimum
1004;423;Amphotericinum b
1018;1047;Chloramphenicolum
1018;2259;Hydrocortisoni caproas
1019;1396;Dexamethasoni natrii phosphas
1023;2699;Lynestrenolum
1036;2260;Hydrocortisoni natrii succinas
1044;397;Amitriptylini hydrochloridum
1044;3684;Perphenazinum
1046;397;Amitriptylini hydrochloridum
