LAAKEMUOTOTUN;LAAKEMUOTONIMI;LAAKEMUOTONIMIR;LAAKEMUOTONIMIE
4;injektioneste, liuos, esitäytetty injektori;injektionsvätska, lösning i förfylld injektor;solution for injection in pre-filled injector
8;annosrakeet;dosgranulat;single-dose granules
11;dentaaligeeli;dentalgel;dental gel
13;depotkapseli;depotkapsel;prolonged-release capsule
14;depotlaastari;depotplåster;transdermal patch
15;depotrakeet;depotgranulat;prolonged-release granules
16;depottabletti;depottablett;prolonged-release tablet
17;emulsiovoide;kräm;cream
18;emätingeeli;vaginalgel;vaginal gel
21;emätinpuikko;vagitorium;pessary
27;enterorakeet;enterogranulat;gastro-resistant granules
28;enterotabletti;enterotablett;gastro-resistant tablet
29;geeli;gel;gel
36;hemofiltraationeste;hemofiltrationsvätska;solution for haemofiltration
38;imeskelytabletti;sugtablett;lozenge
39;implantaatti;implantat;implant
40;infuusiokonsentraatti;infusionskoncentrat;concentrate for infusion
45;inhalaatiojauhe;inhalationspulver;inhalation powder
48;infuusiokonsentraatti, dispersiota varten;koncentrat till infusionsvätska, dispersion;concentrate for dispersion for infusion
56;injektioneste;injektionsvätska;injection
66;injektioneste, liuos, esitäytetty ruisku;injektionsvätska, lösning i förfylld spruta;solution for injection in pre-filled syringe
68;infuusioneste, liuos, antovälineistö;infusionsvätska, lösning i administreringssats;solution for infusion in administration system
69;jauhe;oralt pulver;oral powder
73;kapseli terapiaan;kapsel till terapi;capsule for therapy
74;kapseli;kapsel;capsule
89;injektioneste, suspensio, esitäytetty kynä;injektionsvätska, suspension i förfylld injektionspenna;suspension for injection in pre-filled pen
93;liukeneva tabletti;löslig tablett;soluble tablet
98;infuusiokonsentraatti, liuosta varten/injektioneste, liuos;koncentrat till infusionvätska, lösning/injektionsvätska, lösning;concentrate for solution for infusion/solution for injection
106;rakeet oraaliliuosta varten, annospussi;granulat till oral lösning i dospåse;granules for oral solution in sachet
107;injektiokuiva-aine ja liuotin, depotsuspensiota varten, esitäytetty ruisku;pulver och vätska till injektionsvätska, depotsuspension i förfylld spruta;powder and solvent for prolonged-rel. susp. for inj. in pre-filled syringe
108;liuos päänahkaan;lösning för hårbotten;solution for scalp
109;jauhe oraaliliuosta varten, annospussi;pulver till oral lösning i endosbehållare;powder for oral solution in single-dose container
126;nenävoide;nässalva;nasal ointment
129;peritoneaalidialyysineste;peritonealdialysvätska;solution for peritoneal dialysis
130;peräpuikko;suppositorium;suppository
132;peräruiske;rektalvätska;enema
134;porejauhe;bruspulver;effervescent powder
136;poretabletti;brustablett;effervescent tablet
139;purutabletti;tuggtablett;chewable tablet
143;rakeet;granulat;granules
147;rektaalivaahto;rektalskum;rectal foam
148;rektaalivoide;rektalsalva;rectal ointment
149;resoribletti;resoriblett, sublingual;sublingual tablet
150;geeli ientaskuun;periodontalgel;periodontal gel
151;shampoo;schampo;shampoo
154;silmälamelli;ögonlamell;ophthalmic insert
159;silmävoide;ögonsalva;eye ointment
160;injektiokuiva-aine ja liuotin suspensiota varten, esitäytetty ruisku;pulver och vätska till injektionsvätska, suspension i förfylld spruta;powder and solvent for suspension for injection in pre-filled syringe
164;ihovaahto;kutant skum;cutaneous foam
170;suuvesi;munsköljvätska;mouthwash
173;tabletti;tablett;tablet
175;tipat;droppar;drops
177;voide;salva;ointment
180;voidesukka;salvstrumpa;ointment sock
182;injektio-/infuusiokuiva-aine ja liuotin, liuosta varten;pulver och vätska till injektions-/infusionsvätska, lösning;powder and solvent for solution for injection/infusion
183;liuos virtsarakkoon;intravesikal lösning;intravesical solution
