EHTOKOODI;EHTO;EHTOR
E87;Neuvoston direktiivin 90/677/ETY 4 artiklan säännösten mukaan jäsenvaltiot kieltävät tai voivat kieltää Serinucoli-nimisen lääkkeen maahantuonnin, myynnin ja/tai käytön koko alueellaan tai osassa aluettaan. Suomi on kieltänyt maahantuonnin, myynnin ja käytön, koska valmiste voi sisältää BVD-pestivirusvasta-aineita.;Enligt artikel 4 i Europarådets direktiv 90/677/EEG förbjuder eller kan medlemsstaterna förbjuda import, försäljning, tillhandahållande och/eller förbruk av Serinucoli inom hela eller delar av sitt territorium. Finland har förbjudit import, försäljning och förbruk, eftersom produkten kan innehålla antikroppar mot BVD pestvirus.
E88;Valmistetta saa määrätä vain hedelmällisyyshoitoihin perehtynyt lääkäri.;Preparatet skall endast förskrivas av en läkare med kompetens i fertilitetsbehandling.
E89;Hoito tulee aloittaa hemofilia A:n hoitoon perehtyneen lääkärin valvonnassa.;Behandlingen bör initieras av en läkare med erfarenhet av behandling av hemofili A.
E90;Hoito pitää keskittää ILP-menetelmän ja raajan sarkooman hoitoon perehtyneiden kirurgisten keskusten erikoisyksikköihin, joissa on tehohoitovalmius ja joissa on hoidon aikana mahdollisuus jatkuvasti seurata lääkevalmisteen vuotoa systeemiseen verenkiertoon.;Behandlingen ska genomföras på specialiserade centra av kirurgteam med erfarenhet av behandling av sarkom i extremiteterna och av ILP-proceduren, med tillgång till intensivvårdsenhet och möjlighet att följa läckage av läkemedel till systemcirkulationen.
E91;Indinaviiria tulisi määrätä vain HIV-infektion hoitoon perehtynyt lääkäri.;Indinavir bör förskrivas av läkare med erfarenhet av behandling av HIV-infektion.
E93;Hoidon aloittavan ja sitä valvovan lääkärin tulee olla perehtynyt kroonisen C-hepatiitin hoitoon.;Behandlingen bör initieras och monitoreras av en läkare med erfarenhet av behandling av kronisk hepatit C.
E94;Vain eläinlääkärin annettavaksi.;Administreras endast av veterinär.
E97;Valmistetta saa käyttää vain sairaalassa ja sitä saa antaa vain akuuttien koronaarioireyhtymien hoitoon perehtynyt lääkäri.;Denna produkt är endast avsedd för användning på sjukhus av specialistläkare vana vid behandling av akuta hjärtsyndrom.
E98;Paklitakseli-lääkitys tulee antaa vain syöpätautien erikoislääkärin valvonnassa sytostaattien käyttöön erikoistuneissa sairaalayksiköissä.;Paklitaxel bör endast ges under överinseende av specialist i onkologi, där erfarenhet av administrering av cytostatika finns.
E99;Valmiste on tarkoitettu vain akuuttien sydämen oireyhtymien hoitoon erikoistuneiden lääkäreiden käyttöön sairaalassa.;Denna produkt är endast avsedd för sjukhusbruk av specialistläkare med erfarenhet av behandling av akuta koronarsyndrom.
E101;Vitravenehoitoa saa antaa vain lasiaisensisäisten injektioiden antamiseen perehtynyt lääkäri.;Behandling med Vitravene bör endast utföras av oftalmolog med erfarenhet av intravitrealinjektioner.
E1A;100 tabletin pakkaus vain sairaalakäyttöön.;100 tabletters förpackning endast för sjukhusbruk.
E103;Hoito tulisi aloittaa ja ylläpitää sellaisen lääkärin toimesta, jolla on kokemusta talassemiapotilaiden hoidosta.;Behandling bör påbörjas och utföras av läkare med erfarenhet av behandling av patienter med talassemi.
E104;Hoito tulee aloittaa reumatauteihin perehtyneen erikoislääkärin valvonnassa.;Behandling bör initieras av en specialistläkare med erfarenhet av behandling av reumatologiska sjukdomar.
E105;Mifepristonia ja prostaglandiinihoitoa voidaan määrätä ja käyttää raskauden keskeyttämiseen kansallisen lainsäädännön ja asetusten mukaisesti vain sellaisessa julkisessa tai yksityisessä sairaalassa tai lääkärikeskuksessa, jolla on lupa suorittaa raskauden keskeytyksiä. Valmistetta tulee käyttää lääkärin tai tehtävään koulutetun terveydenhoitohenkilökunnan läsnäollessa. Jos edellä mainitut lait tai asetukset niin edellyttävät, potilaan tulee allekirjoittaa suostumus vahvistukseksi siitä, että hänet on perehdytetty menetelmään ja sen riskeihin. Ensimmäisen käyntikerran ajoituksessa tulee ottaa huomioon tietyissä maissa voimassa oleva vaatimus raskauden keskeytystä edeltävästä harkinta-ajasta.;Mifepriston och prostaglandin behandlingen kan ordineras och användas för avbrytande av graviditet enligt nationella lagar och förordningar endast på ett allmänt eller privat sjukhus eller ett läkemedelscentrum, som har tillstånd att utföra avbrytande av graviditet. Preparatet skall användas i närvaro av läkare eller hälsovårdspersonal utbildad för behandling. Om de ovannämnda lagarna och förordningarna så förutsätter, måste patienten underskriva ett samtycke som är ett dokument att patienten har informerats om den medicinska metoden till avbrytande av graviditet och om riskerna. Den i vissa länder giltiga förutsättningen gällande betänketid före avbrytande av graviditet skall aktas på vid tidsbestämning för det första besöket.
E96;Hoito tulisi aloittaa sellaisen lääkärin valvonnassa, jolla on kokemusta hedelmättömyysongelmien hoidossa.;Behandling bör initieras under kontroll av läkare med erfarenhet av behandling av fertilitetsproblem.
E107;Tikosyn hoidon tulee tapahtua rytmihäiriöiden hoitoon erikoistuneen erikoislääkärin alaisuudessa.;Under behandling med Tikosyn ska patienten skötas av en specialist specialiserad i arytmibehandling.
E67;Hoidon saa määrätä vain HIV-infektion hoitoon perehtynyt lääkäri.;Förskrivare av läkemedlet bör ha erfarenhet av att behandla HIV-infektioner.
E43;Vain keuhkosairauksien ja lastentautien erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon.;Endast mot recept utfärdade av specialister i lungsjukdomar och i barnsjukdomar och i av dem påbörjad eftervård.
E44;Vain lastennefrologian, lastenendokrinologian ja/tai endokrinologian erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i barnnefrologi, barnendokrinologi och/eller av specialister i endokrinologi.
