PAKKAUSNRO;VNRNRO;PAKKAUSKOKO;KERROIN;KOKO;YKSIKKO;LAITE;ASTIATUN;KAUPPAANTULOPVM;KAUPASTAPOISPVM;RESEPTISTATUS;LAAKENIMI;VAHVUUS;LAAKEMUOTONIMI;LAAKEMUOTOTUN;HALTIJA;HUM;VET;RINNAKKAISTUONTI;VAIKAINELKM;ATCKOODI;ATCTUN;DDD;DDDYKSIKKO;HUUME;PSYKOLUOKITUS;LIIKENNEVAARA;EHTOKOODI;MYYNTILUPANRO;EUMYYNTILUPANRO;PAATOSPVM;PAATTYMISPVM;TILANIMI;TILAKOODI;MUUTOS;EDELLINEN_VNRNRO;SUBSTITUUTIORYHMA;KAUPAN;EDELLINEN_LAAKENIMI
103840;;100;1;100.00;kpl;;;;;R;DAPSON "SCANPHARM";50 mg;tabletti;173;Scanpharm A/S;1;0;0;1;J04BA02;2585;50;mg;;;0;;24396;;2016-10-10;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;DAPSON
103846;;28;;;;;;;;R;EPHEDRINE HYDROCHLORIDE;30 mg;tabletti;173;CP Pharmaceuticals Ltd.;1;0;0;1;R03CA02;4058;50;mg;;;0;;24403;;2001-06-05;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
103907;;18 ml + 2 ml;;;;;17;;;R;KESKOSTIPPA ILMAN D-VITAMIINIA;;tipat;175;Orion Corporation Orion Pharma;1;0;0;4;A11JC;538;1;ED;;;0;;24424;;2000-09-01;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
103910;;30;1;30.00;kpl;;;;;R;MYSOLINE;250 mg;tabletti;173;Lab Farm. SIT s.r.l.;1;0;0;1;N03AA03;3342;1.25;g;;;0;;24427;;2003-10-30;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
103920;;100;1;100.00;kpl;;;;;R;PETNIDAN;250 mg;kapseli, pehme‰;251;Desitin Arzneimittel GmbH;1;0;0;1;N03AD01;3357;1.25;g;;;0;;24436;;2016-10-10;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
103998;;30 x 0.5 ml;30;0.50;ml;;;;;R;S2 RACEPINEPHRINE;2.25 %;inhalaationeste, liuos;510;Nephron Pharmaceuticals Corporation;1;0;0;1;R03AA01;4005;20;mg;;;0;;24448;;2006-04-06;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
142605;;2 x 4 ml;;;;;;;;R;VIPERATAB;100 mg / 4 ml;infuusiokonsentraatti;40;MicroPharm;1;0;0;1;J06AA03;2627;;;;;0;M2A;29849;;2011-05-10;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
151815;;30 ml;1;30.00;ml;;;;;R;NIFEREX;30 mg/ml;tipat, liuos;267;Aesica Pharmaceuticals GmbH;1;0;0;1;B03AA01;727;0.2;g;;;0;;30850;;2012-06-27;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;NIFEREX UCB PHARMA
151831;;100;1;100.00;kpl;;;;;R;AMANTADIN-RATIOPHARM;100 mg;tabletti, kalvop‰‰llysteinen;235;Merckle GmbH;1;0;0;1;N04BB01;3407;0.2;g;;;0;;30853;;2012-06-28;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
155406;;1;;;;;;;;R;VERORAB;;injektiokuiva-aine ja liuotin, suspensiota varten;465;Sanofi Pasteur S.A.;1;0;0;1;J07BG01;2724;;;;;0;;31271;;2012-12-19;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
156983;;50 ml;;;;;;;;R;ENFAMIL FER-IN-SOL;15 mg Fe 2+/ml;tipat;175;Mead Johnson & Company, LLC;1;0;0;1;B03AA07;733;0.2;g;;;0;;31587;;2013-05-28;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
160484;;1 + solv.;;;;;;;;R;LENTOCILIN S 1200;1 200 000 UI / 4 ml;injektiokuiva-aine ja liuotin, suspensiota varten;465;Laboratorios Atral S.A.;1;0;0;2;J01CE08;2362;3.6;g;;;0;;32002;;2013-12-18;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
165144;;50;1;50.00;kpl;;;;;R;AMPHO-MORONAL;10 mg;imeskelytabletti;38;mibe GmbH;1;0;0;1;A01AB04;12;40;mg;;;0;;32643;;2014-09-15;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;AMPHO-MORONAL LUTSCHTABLETTEN
165145;;100;1;100.00;kpl;;;;;R;AMPHO-MORONAL;10 mg;imeskelytabletti;38;mibe GmbH;1;0;0;1;A01AB04;12;40;mg;;;0;;32643;;2014-09-15;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;AMPHO-MORONAL LUTSCHTABLETTEN
165558;;100;;;;;;;;R;GLAUPAX;;tabletti;173;Artesan Pharma GmbH & Co. KG;1;0;0;1;S01EC01;4431;0.75;g;;;0;;32692;;2014-09-26;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
165563;;30;;;;;;;;R;GLAUPAX;;tabletti;173;Artesan Pharma GmbH & Co. KG;1;0;0;1;S01EC01;4431;0.75;g;;;0;;32692;;2014-09-26;2023-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
